,type,name,nhab,services,rating,price_night,district_id,airbnb_id
37,Habitacion privada,Room to rent in central Barcelona near la rambla,2 huespedes * 1 dormitorio * 1 bano privado,Wifi * Cocina * Lavadora,5.0,64,1,212
38,Habitacion privada,Design Catalan Room El Born for 2 Persons,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.79,63,1,80
39,Habitacion privada,Habitacion acogedora en el Centro de Barcelona,2 huespedes * 1 dormitorio * 1 bano,Wifi,4.31,53,1,122
40,Habitacion de hostal,Habitacion Doble con bano privado - 1 cama doble,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos",Wifi * Aire acondicionado,4.9,69,1,116
41,Habitacion privada,Private -bedroom,2 huespedes * 1 dormitorio * 4 camas * 1 bano compartido,Wifi * Cocina * Lavadora,4.47,43,1,197
42,Habitacion privada,Luxury room with private bathroom at Las Ramblas,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Aire acondicionado,4.81,78,1,170
43,Habitacion privada,"Enjoy Room, private bathroom, center near beach",4 huespedes * 1 dormitorio * 3 camas * 1 bano privado,Wifi * Cocina * Aire acondicionado,4.4,70,1,94
44,Habitacion privada,A small individual room in a sharing apartment,1 huesped * 1 dormitorio * 1 bano compartido,Wifi,4.64,39,1,14
45,Habitacion privada,Secret Room For 2 Persons / Centre El Born,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.58,67,1,224
46,Habitacion privada,Room x 4 people ramblas beach,4 huespedes * 1 dormitorio * 3 camas * 1 bano compartido,Wifi * Cocina * Lavadora * Aire acondicionado,4.29,71,1,216
47,Habitacion de hostal,Doble con bano compartido y ducha privada- 2 camas,"2 huespedes * 1 dormitorio * 2 camas * 1,5 banos compartidos",Wifi * Aire acondicionado,4.5,59,1,82
48,Habitacion privada,42sqm Suite Next to Plaza Catalunya,4 huespedes * 1 dormitorio * 2 camas * 1 bano privado,Wifi * Cocina,4.81,84,1,9
49,Habitacion privada,Cosy Room in the heart of Barcelona,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora * Aire acondicionado,4.69,59,1,65
50,Habitacion privada,Room in the heart of barcelona - La Rambla,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Cocina * Lavadora,4.69,62,1,210
